filename,chroma_stft,rmse,spectral_centroid,spectral_bandwidth,rolloff,zero_crossing_rate,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15,mfcc16,mfcc17,mfcc18,mfcc19,mfcc20,label
sample0_covid.wav,0.3375558,0.15191105,1284.1205212391521,1045.2226285831364,2286.1899636008525,0.07838023792613637,-173.15036,176.25002,-85.26471,10.774886,-38.44333,-29.75753,-9.693088,-21.43279,0.6915664,-32.561417,-20.227415,-6.172493,-18.894081,-4.547004,-6.992543,1.8832301,2.9864342,-4.2268043,-2.113119,-6.843199,1
sample10_healthy.wav,0.20604278,0.07897221,917.1298408659509,569.8835843252641,1493.3765758167613,0.06163441051136364,-438.70917,47.95137,-47.83812,22.238201,-0.06035874,-0.6359083,-4.6365285,-10.888946,-2.009129,-9.165809,2.407445,-4.075454,-2.8924973,3.0089264,-6.1326947,1.2841668,-0.6670047,-2.509033,-1.9868941,-1.0775062,0
sample11_healthy.wav,0.26689258,0.06294943,1591.3798629660444,996.7446474402371,2714.651766690341,0.10536887428977272,-380.25928,88.41473,-65.31287,38.26466,-27.726826,-9.544177,-5.4633718,-18.696175,13.237552,-7.8583174,0.34164608,-12.658158,-10.861022,12.796445,-3.1184282,2.6178262,0.3814561,-2.4465299,-2.6413908,-6.769899,0
sample12_healthy.wav,0.34189096,0.060813013,1063.408301918308,1029.0190082524327,1991.8212890625,0.057572798295454544,-369.5004,120.28531,-28.711851,36.40704,-12.699768,-8.780945,-2.9133642,-15.483979,0.20275255,-20.64145,-5.189252,1.8287104,-3.5157027,1.3776759,-14.023423,0.45346287,2.8331237,-9.739396,0.2768013,1.2430686,0
sample13_healthy.wav,0.18977214,0.09130714,679.514489595637,631.4684075534394,1294.683837890625,0.032637162642045456,-398.24316,79.69857,-32.381527,15.69176,-13.930984,0.0026675137,2.6832514,-12.539326,0.9629948,-11.816467,0.07184771,1.9390048,-10.356557,-2.7480574,-4.572699,-3.0689461,-1.6795834,-1.4457097,-1.1627234,-1.5629718,0
sample14_healthy.wav,0.2698208,0.0611341,1526.5475779439041,1223.30380019617,3013.6696555397725,0.09370561079545454,-368.108,84.484,-37.931446,38.019215,-32.40344,1.1766007,8.695493,-20.874891,-2.3789873,-18.644274,2.6972692,-1.1239476,-16.804304,-6.481642,-10.637053,-3.4101126,-9.521667,-4.6755786,-0.81890523,-9.119006,0
sample15_healthy.wav,0.3577145,0.096612744,1069.727850117843,1102.8790224150416,2152.096835049716,0.054143732244318184,-351.39975,112.34789,-20.70927,47.63816,-9.063473,-11.73465,14.639392,-9.901643,-15.465161,-19.929283,-8.487794,-6.085921,-3.316465,1.2671113,-3.9421294,1.6503705,-9.138287,-10.40654,-1.9035236,-3.4912803,0
sample16_healthy.wav,0.1859221,0.052939475,908.070647593573,647.397521425144,1747.3704944957387,0.06177867542613636,-472.6262,48.477463,-37.905174,18.622908,-16.362093,2.7020988,-3.7350435,-10.651151,6.0461802,-11.4504795,6.0247555,-0.3785241,-6.587845,3.988001,-2.874218,2.8232954,-3.726876,-3.615731,-0.54473066,-2.7612631,0
sample17_healthy.wav,0.33650702,0.10311261,984.8688627014934,1024.3500259443813,1927.2216796875,0.047440962357954544,-294.79944,130.77126,-41.044888,33.823193,-7.6954045,7.194114,-0.6772204,-18.976238,-5.66034,-11.596845,8.239268,-13.699701,-13.169413,0.15579659,-2.3703308,10.81894,-9.460954,-1.4211121,1.6097163,-12.175492,0
sample18_healthy.wav,0.30123532,0.1267911,1458.3300699201056,1337.3495327052713,2864.8947975852275,0.07661576704545454,-217.80875,158.15407,-66.2386,38.28928,-34.623486,3.7797682,0.64190763,-26.706968,5.389732,-13.439813,-2.0283186,-21.032646,-11.773526,0.9680402,-20.542448,-2.5554867,-4.0776215,-0.7706299,-5.049923,-4.3054256,0
